TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
MSFT,Jan-24,24,504,21,4.1%,69%,https://www.estimize.com/users/analyst_2165162
TSLA,Jan-25,24,460,19.2,22.1%,69%,https://www.estimize.com/users/analyst_2165162
JBLU,Jan-26,24,168,7,6.7%,53%,https://www.estimize.com/users/analyst_2165162
NFLX,Jan-17,24,296,12.3,9.8%,56%,https://www.estimize.com/users/analyst_2165162
PEP,Feb-16,24,483,20.1,2.2%,62%,https://www.estimize.com/users/analyst_2165162
DIS,Feb-7,23,356,15.5,16.1%,61%,https://www.estimize.com/users/analyst_2165162
PM,Feb-9,23,343,14.9,4.0%,61%,https://www.estimize.com/users/analyst_2165162
CMCSA,Jan-26,23,556,24.2,2.8%,65%,https://www.estimize.com/users/analyst_2165162
GOOGL,Jan-31,23,413,18,6.8%,67%,https://www.estimize.com/users/analyst_2165162
DPZ,Feb-23,22,354,16.1,3.8%,67%,https://www.estimize.com/users/analyst_2165162
