TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
JBLU,Jan-26,2,27,13.5,27.8%,70%,https://www.estimize.com/users/deluxe186
AMZN,Feb-2,1,14,14,17.2%,65%,https://www.estimize.com/users/deluxe186
ALGN,Jan-31,1,-10,-10,81.7%,44%,https://www.estimize.com/users/deluxe186
TSLA,Jan-25,1,-8,-8,54.8%,38%,https://www.estimize.com/users/deluxe186
AAPL,Jan-26,1,-11,-11,5.1%,24%,https://www.estimize.com/users/deluxe186
META,Feb-1,1,-13,-13,7.8%,14%,https://www.estimize.com/users/deluxe186
CAT,Jan-26,1,-6,-6,11.7%,44%,https://www.estimize.com/users/deluxe186
