TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMZN,Feb-2,4,-35,-8.8,25.1%,25%,https://www.estimize.com/users/analyst_8618471
AAPL,Jan-26,4,76,19,8.8%,51%,https://www.estimize.com/users/analyst_8618471
