TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMZN,Feb-2,21,280,13.3,24.6%,59%,https://www.estimize.com/users/analyst_1390165
META,Feb-1,21,370,17.6,6.6%,65%,https://www.estimize.com/users/analyst_1390165
GOOGL,Jan-31,20,328,16.4,9.2%,58%,https://www.estimize.com/users/analyst_1390165
AAPL,Jan-26,20,346,17.3,5.0%,65%,https://www.estimize.com/users/analyst_1390165
MSFT,Jan-24,19,400,21.1,4.4%,63%,https://www.estimize.com/users/analyst_1390165
TJX,Feb-22,18,214,11.9,8.2%,56%,https://www.estimize.com/users/analyst_1390165
MA,Feb-2,18,422,23.4,3.0%,67%,https://www.estimize.com/users/analyst_1390165
TXN,Jan-24,17,317,18.6,5.6%,62%,https://www.estimize.com/users/analyst_1390165
ATVI,Feb-9,13,172,13.2,9.1%,61%,https://www.estimize.com/users/analyst_1390165
SWKS,Feb-2,12,110,9.2,1.9%,56%,https://www.estimize.com/users/analyst_1390165
