TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
IBM,Jan-25,4,27,6.8,2.8%,45%,https://www.estimize.com/users/analyst_5729318
BB,Dec-15,1,24,24,54.7%,65%,https://www.estimize.com/users/analyst_5729318
GOOGL,Jan-31,1,-9,-9,10.9%,27%,https://www.estimize.com/users/analyst_5729318
AMZN,Feb-2,1,-5,-5,15.6%,60%,https://www.estimize.com/users/analyst_5729318
TTWO,Feb-8,1,1,1,56.4%,37%,https://www.estimize.com/users/analyst_5729318
CRM,Nov-30,1,18,18,5.7%,43%,https://www.estimize.com/users/analyst_5729318
MU,Dec-21,1,-6,-6,15.6%,48%,https://www.estimize.com/users/analyst_5729318
