TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
REGN,Feb-9,9,41,4.6,13.3%,39%,https://www.estimize.com/users/suntrust_115
PTCT,Feb-21,9,45,5,16.1%,57%,https://www.estimize.com/users/suntrust_115
BIIB,Feb-2,8,90,11.3,6.5%,60%,https://www.estimize.com/users/suntrust_115
FATE,Feb-27,8,12,1.5,38.9%,32%,https://www.estimize.com/users/suntrust_115
AMGN,Feb-2,8,-70,-8.2,6.5%,24%,https://www.estimize.com/users/suntrust_115
VRTX,Feb-1,7,39,5.6,6.7%,42%,https://www.estimize.com/users/suntrust_115
QURE,Mar-15,7,180,25.7,55.4%,66%,https://www.estimize.com/users/suntrust_115
BMRN,Feb-22,6,5,0.8,28.8%,37%,https://www.estimize.com/users/suntrust_115
INCY,Feb-16,4,78,19.5,19.3%,59%,https://www.estimize.com/users/suntrust_115
GILD,Feb-7,4,-31,-6.9,10.4%,17%,https://www.estimize.com/users/suntrust_115
LLY,Feb-2,3,1,0.3,14.0%,35%,https://www.estimize.com/users/suntrust_115
ABBV,Jan-27,3,-5,-1.7,2.2%,35%,https://www.estimize.com/users/suntrust_115
MRK,Feb-2,3,-5,-1.7,14.7%,20%,https://www.estimize.com/users/suntrust_115
SGMO,Mar-2,3,-14,-4,20.7%,44%,https://www.estimize.com/users/suntrust_115
BMY,Feb-2,2,34,13.6,4.6%,36%,https://www.estimize.com/users/suntrust_115
PFE,Jan-31,2,7,2.8,18.4%,26%,https://www.estimize.com/users/suntrust_115
