TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
NFLX,Jan-17,18,203,11.3,9.3%,57%,https://www.estimize.com/users/benjenholdings
JNJ,Jan-24,16,351,21.9,2.6%,60%,https://www.estimize.com/users/benjenholdings
EGHT,Jan-26,16,232,14.5,18.2%,54%,https://www.estimize.com/users/benjenholdings
MS,Jan-19,15,237,15.8,9.5%,52%,https://www.estimize.com/users/benjenholdings
CSX,Jan-19,15,272,18.1,3.2%,66%,https://www.estimize.com/users/benjenholdings
IBM,Jan-25,15,170,11.3,2.3%,60%,https://www.estimize.com/users/benjenholdings
GS,Jan-18,14,133,9.5,14.6%,48%,https://www.estimize.com/users/benjenholdings
JPM,Jan-13,14,216,15.4,7.6%,59%,https://www.estimize.com/users/benjenholdings
C,Jan-13,14,167,11.9,9.9%,54%,https://www.estimize.com/users/benjenholdings
WFC,Jan-13,14,52,3.7,7.8%,52%,https://www.estimize.com/users/benjenholdings
