TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
DIS,Feb-7,1,12,12,25.3%,77%,https://www.estimize.com/users/analyst_2073019
MGM,Feb-15,1,33,33,28.8%,76%,https://www.estimize.com/users/analyst_2073019
AMZN,Feb-2,1,5,5,13.5%,49%,https://www.estimize.com/users/analyst_2073019
AAPL,Jan-26,1,22,22,7.7%,59%,https://www.estimize.com/users/analyst_2073019
ZG,Feb-9,1,10,10,19.1%,60%,https://www.estimize.com/users/analyst_2073019
NVDA,Feb-16,1,-10,-10,7.1%,38%,https://www.estimize.com/users/analyst_2073019
SHOP,Feb-15,1,26,26,29.1%,72%,https://www.estimize.com/users/analyst_2073019
