TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMZN,Feb-2,1,-10,-10,15.3%,50%,https://www.estimize.com/users/analyst_6142743
PRLB,Feb-9,1,4,4,23.9%,14%,https://www.estimize.com/users/analyst_6142743
