TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
MSFT,Jan-24,3,49,16.3,4.7%,50%,https://www.estimize.com/users/analyst_583258
AMZN,Feb-2,2,2,1,27.1%,23%,https://www.estimize.com/users/analyst_583258
DIS,Feb-7,1,-5,-5,44.3%,63%,https://www.estimize.com/users/analyst_583258
W,Feb-23,1,-10,-10,14.7%,24%,https://www.estimize.com/users/analyst_583258
BA,Jan-25,1,15,15,15.2%,47%,https://www.estimize.com/users/analyst_583258
