TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMZN,Feb-2,2,21,10.5,17.4%,59%,https://www.estimize.com/users/analyst_7693138
META,Feb-1,1,4,4,19.0%,34%,https://www.estimize.com/users/analyst_7693138
NVDA,Feb-16,1,27,27,3.0%,64%,https://www.estimize.com/users/analyst_7693138
MSFT,Jan-24,1,19,19,7.6%,55%,https://www.estimize.com/users/analyst_7693138
SHOP,Feb-15,1,7,7,51.6%,40%,https://www.estimize.com/users/analyst_7693138
DOCU,Dec-8,1,15,15,29.0%,27%,https://www.estimize.com/users/analyst_7693138
