TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
V,Feb-2,16,304,19,2.6%,53%,https://www.estimize.com/users/analyst_8532270
LMT,Jan-24,16,156,9.8,8.2%,57%,https://www.estimize.com/users/analyst_8532270
CVX,Jan-27,16,186,11.6,18.5%,59%,https://www.estimize.com/users/analyst_8532270
TMO,Feb-1,16,225,14.1,7.0%,49%,https://www.estimize.com/users/analyst_8532270
AMZN,Feb-2,16,170,10.6,21.1%,59%,https://www.estimize.com/users/analyst_8532270
PEP,Feb-16,16,227,14.2,3.3%,51%,https://www.estimize.com/users/analyst_8532270
GOOGL,Jan-31,16,240,15,10.2%,56%,https://www.estimize.com/users/analyst_8532270
AWK,Feb-21,16,131,8.2,3.8%,50%,https://www.estimize.com/users/analyst_8532270
MSFT,Jan-24,16,358,22.4,3.5%,68%,https://www.estimize.com/users/analyst_8532270
LOW,Mar-1,16,157,9.8,5.7%,47%,https://www.estimize.com/users/analyst_8532270
