TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
SQ,Feb-22,6,106,17.7,30.4%,54%,https://www.estimize.com/users/analyst_4487839
CSCO,Feb-15,6,120,20,2.0%,65%,https://www.estimize.com/users/analyst_4487839
AMD,Jan-31,6,130,21.7,5.6%,65%,https://www.estimize.com/users/analyst_4487839
MOMO,Dec-8,6,46,7.7,20.0%,63%,https://www.estimize.com/users/analyst_4487839
MU,Dec-21,6,121,20.2,3.2%,63%,https://www.estimize.com/users/analyst_4487839
FSLY,Feb-15,5,83,16.6,26.8%,69%,https://www.estimize.com/users/analyst_4487839
REGN,Feb-9,5,103,20.6,6.1%,63%,https://www.estimize.com/users/analyst_4487839
BABA,Feb-1,5,75,15,8.1%,60%,https://www.estimize.com/users/analyst_4487839
HPQ,Feb-23,5,95,19,4.4%,49%,https://www.estimize.com/users/analyst_4487839
AYX,Feb-15,5,74,14.8,22.2%,65%,https://www.estimize.com/users/analyst_4487839
