TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
DOCU,Dec-8,6,-117,-19.5,35.9%,3%,https://www.estimize.com/users/analyst_140007
AYX,Feb-15,5,24,4.8,41.8%,44%,https://www.estimize.com/users/analyst_140007
ETSY,Feb-28,4,51,12.8,32.0%,68%,https://www.estimize.com/users/analyst_140007
META,Feb-1,4,-8,-2,17.3%,13%,https://www.estimize.com/users/analyst_140007
YEXT,Nov-30,4,-18,-4.5,35.9%,21%,https://www.estimize.com/users/analyst_140007
ROKU,Feb-16,4,-45,-11.3,39.6%,13%,https://www.estimize.com/users/analyst_140007
WDAY,Nov-29,4,-13,-3.3,17.5%,21%,https://www.estimize.com/users/analyst_140007
BOX,Nov-30,4,23,5.8,13.1%,33%,https://www.estimize.com/users/analyst_140007
NEWR,Feb-7,3,95,27.1,14.9%,78%,https://www.estimize.com/users/analyst_140007
UPWK,Feb-9,3,-34,-11.3,53.3%,17%,https://www.estimize.com/users/analyst_140007
