TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
MSFT,Jan-24,2,63,31.5,2.0%,76%,https://www.estimize.com/users/lolcat
AMZN,Feb-2,1,28,28,11.8%,75%,https://www.estimize.com/users/lolcat
AAPL,Jan-26,1,23,23,7.2%,62%,https://www.estimize.com/users/lolcat
TSLA,Jan-25,1,-10,-10,23.3%,29%,https://www.estimize.com/users/lolcat
AMD,Jan-31,1,-6,-6,7.3%,54%,https://www.estimize.com/users/lolcat
FTCH,Mar-2,1,-22,-22,55.1%,4%,https://www.estimize.com/users/lolcat
META,Feb-1,1,14,14,6.0%,52%,https://www.estimize.com/users/lolcat
