TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
FISV,Feb-7,21,105,5,2.5%,49%,https://www.estimize.com/users/jmp4653
MSFT,Jan-24,21,374,17.8,4.6%,57%,https://www.estimize.com/users/jmp4653
AMZN,Feb-2,21,273,13,24.0%,59%,https://www.estimize.com/users/jmp4653
GOOGL,Jan-31,20,238,11.9,9.4%,55%,https://www.estimize.com/users/jmp4653
AAPL,Jan-26,20,366,18.3,4.3%,64%,https://www.estimize.com/users/jmp4653
META,Feb-1,19,258,13.6,7.6%,58%,https://www.estimize.com/users/jmp4653
NFLX,Jan-17,16,144,9,9.3%,58%,https://www.estimize.com/users/jmp4653
UNH,Jan-17,15,117,7.8,3.0%,44%,https://www.estimize.com/users/jmp4653
SYK,Jan-25,13,251,19.3,3.5%,60%,https://www.estimize.com/users/jmp4653
MU,Dec-21,13,226,17.5,5.5%,65%,https://www.estimize.com/users/jmp4653
