TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMZN,Feb-2,3,3,1,13.6%,50%,https://www.estimize.com/users/analyst_9912409
SNAP,Feb-7,2,-14,-7,25.9%,23%,https://www.estimize.com/users/analyst_9912409
GS,Jan-18,1,19,19,6.5%,59%,https://www.estimize.com/users/analyst_9912409
HUM,Feb-8,1,-12,-12,4.9%,7%,https://www.estimize.com/users/analyst_9912409
AAPL,Jan-26,1,24,24,0.7%,75%,https://www.estimize.com/users/analyst_9912409
GOOGL,Jan-31,1,-15,-15,8.3%,5%,https://www.estimize.com/users/analyst_9912409
