TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
WMT,Feb-21,1,-4,-4,0.7%,76%,https://www.estimize.com/users/analyst_6197352
DIS,Feb-7,1,8,8,3.2%,58%,https://www.estimize.com/users/analyst_6197352
AMZN,Feb-2,1,-8,-8,15.3%,54%,https://www.estimize.com/users/analyst_6197352
BRK-B,Feb-27,1,-6,-6,26.9%,48%,https://www.estimize.com/users/analyst_6197352
WFC,Jan-13,1,17,17,7.8%,65%,https://www.estimize.com/users/analyst_6197352
META,Feb-1,1,-11,-11,8.8%,28%,https://www.estimize.com/users/analyst_6197352
SNAP,Feb-7,1,24,24,0.1%,85%,https://www.estimize.com/users/analyst_6197352
