TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
WBA,Jan-5,1,9,9,28.1%,51%,https://www.estimize.com/users/analyst_4180389
AMZN,Feb-2,1,-5,-5,16.1%,63%,https://www.estimize.com/users/analyst_4180389
BABA,Feb-1,1,20,20,16.2%,52%,https://www.estimize.com/users/analyst_4180389
AXP,Jan-19,1,14,14,15.1%,58%,https://www.estimize.com/users/analyst_4180389
GILD,Feb-7,1,-7,-7,23.2%,46%,https://www.estimize.com/users/analyst_4180389
DAL,Jan-12,1,18,18,3.8%,66%,https://www.estimize.com/users/analyst_4180389
AAPL,Jan-26,1,39,39,1.5%,87%,https://www.estimize.com/users/analyst_4180389
OLED,Feb-23,1,-10,-10,23.3%,23%,https://www.estimize.com/users/analyst_4180389
V,Feb-2,1,11,11,3.0%,37%,https://www.estimize.com/users/analyst_4180389
GLOB,Feb-16,1,7,7,1.9%,52%,https://www.estimize.com/users/analyst_4180389
