TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMZN,Feb-2,25,306,12.2,25.4%,60%,https://www.estimize.com/users/dimarcam
AAPL,Jan-26,22,369,16.8,3.6%,62%,https://www.estimize.com/users/dimarcam
NUE,Jan-31,20,70,3.5,11.1%,48%,https://www.estimize.com/users/dimarcam
BMY,Feb-2,20,124,6.2,9.0%,40%,https://www.estimize.com/users/dimarcam
CF,Feb-14,20,284,14.2,23.5%,61%,https://www.estimize.com/users/dimarcam
GOOGL,Jan-31,20,322,16.1,6.1%,57%,https://www.estimize.com/users/dimarcam
EBAY,Feb-22,20,182,9.1,2.5%,52%,https://www.estimize.com/users/dimarcam
META,Feb-1,20,294,14.7,6.3%,56%,https://www.estimize.com/users/dimarcam
PXD,Feb-7,20,222,11.1,23.8%,52%,https://www.estimize.com/users/dimarcam
NI,Feb-22,19,119,6.3,15.9%,45%,https://www.estimize.com/users/dimarcam
