TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
TSLA,Jan-25,1,28,28,10.9%,68%,https://www.estimize.com/users/analyst_5002688
AMZN,Feb-2,1,12,12,14.6%,69%,https://www.estimize.com/users/analyst_5002688
AMD,Jan-31,1,5,5,10.3%,46%,https://www.estimize.com/users/analyst_5002688
