TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
KO,Feb-9,1,-10,-10,13.6%,42%,https://www.estimize.com/users/analyst_3574272
AMZN,Feb-2,1,-22,-22,20.0%,22%,https://www.estimize.com/users/analyst_3574272
NFLX,Jan-17,1,-14,-14,17.7%,17%,https://www.estimize.com/users/analyst_3574272
BIDU,Feb-23,1,12,12,20.5%,68%,https://www.estimize.com/users/analyst_3574272
SLB,Jan-20,1,21,21,10.1%,66%,https://www.estimize.com/users/analyst_3574272
C,Jan-13,1,20,20,6.2%,73%,https://www.estimize.com/users/analyst_3574272
UAL,Jan-17,1,47,47,1.4%,66%,https://www.estimize.com/users/analyst_3574272
IBM,Jan-25,1,38,38,1.0%,75%,https://www.estimize.com/users/analyst_3574272
