TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
MCD,Jan-26,2,41,20.5,3.5%,65%,https://www.estimize.com/users/analyst_6097839
AMZN,Feb-2,1,-5,-5,15.4%,61%,https://www.estimize.com/users/analyst_6097839
