TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AAPL,Jan-26,10,167,16.7,4.6%,59%,https://www.estimize.com/users/tylerdurham
TEVA,Feb-15,8,63,7.9,6.7%,57%,https://www.estimize.com/users/tylerdurham
AMZN,Feb-2,6,52,8.7,13.8%,63%,https://www.estimize.com/users/tylerdurham
GE,Jan-24,6,105,17.5,23.9%,60%,https://www.estimize.com/users/tylerdurham
UAA,Feb-14,5,51,10.2,43.4%,48%,https://www.estimize.com/users/tylerdurham
TSLA,Jan-25,4,3,0.8,14.2%,61%,https://www.estimize.com/users/tylerdurham
M,Feb-21,4,19,4.8,6.4%,51%,https://www.estimize.com/users/tylerdurham
X,Jan-26,3,45,15,20.0%,49%,https://www.estimize.com/users/tylerdurham
META,Feb-1,3,22,7.3,5.0%,60%,https://www.estimize.com/users/tylerdurham
AA,Jan-18,2,-19,-9.5,31.0%,10%,https://www.estimize.com/users/tylerdurham
