TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMZN,Feb-2,1,9,9,13.9%,63%,https://www.estimize.com/users/analyst_8160889
AAPL,Jan-26,1,40,40,1.9%,85%,https://www.estimize.com/users/analyst_8160889
META,Feb-1,1,13,13,2.3%,74%,https://www.estimize.com/users/analyst_8160889
